multiplier,std_time,unix_time
2.61,2024-04-13 21:29:50+00:00,1713043790
1.51,2024-04-13 21:30:19+00:00,1713043819
1.95,2024-04-13 21:31:08+00:00,1713043868
4.41,2024-04-13 21:31:45+00:00,1713043905
1.27,2024-04-13 21:33:36+00:00,1713044016
12.85,2024-04-13 21:34:16+00:00,1713044056
1.91,2024-04-13 21:34:39+00:00,1713044079
1.63,2024-04-13 21:35:19+00:00,1713044119
6.58,2024-04-13 21:36:28+00:00,1713044188
1.04,2024-04-13 21:37:43+00:00,1713044263
1.8,2024-04-13 21:39:23+00:00,1713044363
2.46,2024-04-13 21:39:51+00:00,1713044391
1.44,2024-04-13 21:40:44+00:00,1713044444
1.53,2024-04-13 21:42:22+00:00,1713044542
4.0,2024-04-13 21:43:38+00:00,1713044618
67.23,2024-04-13 21:44:47+00:00,1713044687
4.44,2024-04-13 21:45:12+00:00,1713044712
14.17,2024-04-13 21:46:40+00:00,1713044800
1.31,2024-04-13 21:48:37+00:00,1713044917
1.23,2024-04-13 21:49:28+00:00,1713044968
3.58,2024-04-13 21:50:17+00:00,1713045017
1.04,2024-04-13 21:51:26+00:00,1713045086
1.37,2024-04-13 21:53:23+00:00,1713045203
4.69,2024-04-13 21:53:41+00:00,1713045221
1.03,2024-04-13 21:53:49+00:00,1713045229
1.35,2024-04-13 21:54:25+00:00,1713045265
1.86,2024-04-13 21:54:40+00:00,1713045280
2.12,2024-04-13 21:55:31+00:00,1713045331
7.51,2024-04-13 21:56:33+00:00,1713045393
2.08,2024-04-13 21:57:19+00:00,1713045439
2.02,2024-04-13 21:58:43+00:00,1713045523
1.03,2024-04-13 21:59:50+00:00,1713045590
1.95,2024-04-13 22:00:16+00:00,1713045616
1.0,2024-04-13 22:01:36+00:00,1713045696
1.27,2024-04-13 22:03:21+00:00,1713045801
1.21,2024-04-13 22:04:28+00:00,1713045868
1.54,2024-04-13 22:04:55+00:00,1713045895
2.98,2024-04-13 22:06:31+00:00,1713045991
3.28,2024-04-13 22:08:29+00:00,1713046109
3.36,2024-04-13 22:09:18+00:00,1713046158
4.59,2024-04-13 22:09:37+00:00,1713046177
1.38,2024-04-13 22:09:56+00:00,1713046196
2.11,2024-04-13 22:10:12+00:00,1713046212
1.26,2024-04-13 22:11:23+00:00,1713046283
1.57,2024-04-13 22:11:48+00:00,1713046308
2.72,2024-04-13 22:12:59+00:00,1713046379
4.5,2024-04-13 22:14:34+00:00,1713046474
6.13,2024-04-13 22:14:54+00:00,1713046494
1.28,2024-04-13 22:15:28+00:00,1713046528
40.33,2024-04-13 22:17:12+00:00,1713046632
2.0,2024-04-13 22:18:46+00:00,1713046726
5.17,2024-04-13 22:19:17+00:00,1713046757
